Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id
ERR3654022,WXS,252,17390669688,PRJEB33640,SAMEA5820644,6589938420,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646038,SAMEA5820644,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T12:58:00Z,1,SAMEA5820644,HROC147_XL_WES,ERP116450,HROC147_XL_WES
ERR3654023,WXS,252,18431804160,PRJEB33640,SAMEA5820645,7199209050,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646039,SAMEA5820645,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:02:00Z,1,SAMEA5820645,HROC239_LMX_WES,ERP116450,HROC239_LMX_WES
ERR3654024,WXS,252,17054340912,PRJEB33640,SAMEA5820646,6539754948,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646040,SAMEA5820646,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:01:00Z,1,SAMEA5820646,HROC239_XL_WES,ERP116450,HROC239_XL_WES
ERR3654025,WXS,252,15978723264,PRJEB33640,SAMEA5820647,6191125485,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646041,SAMEA5820647,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:02:00Z,1,SAMEA5820647,HROC277_LMX_WES,ERP116450,HROC277_LMX_WES
ERR3654026,WXS,252,16406940312,PRJEB33640,SAMEA5820648,6294239463,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646042,SAMEA5820648,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:18Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:05:00Z,1,SAMEA5820648,HROC277_XL_WES,ERP116450,HROC277_XL_WES
ERR3654027,WXS,252,15671255292,PRJEB33640,SAMEA5820649,5921746137,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646043,SAMEA5820649,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:06:00Z,1,SAMEA5820649,HROC278Met_LMX_WES,ERP116450,HROC278Met_LMX_WES
ERR3654028,WXS,252,16703035272,PRJEB33640,SAMEA5820650,6292596390,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646044,SAMEA5820650,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:06:00Z,1,SAMEA5820650,HROC278Met_XL_WES,ERP116450,HROC278Met_XL_WES
ERR3654029,WXS,252,20324564064,PRJEB33640,SAMEA5820651,7849424843,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646045,SAMEA5820651,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:10:00Z,1,SAMEA5820651,HROC285_LMX_WES,ERP116450,HROC285_LMX_WES
ERR3654030,WXS,252,15340587948,PRJEB33640,SAMEA5820652,5869098974,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646046,SAMEA5820652,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:10:00Z,1,SAMEA5820652,HROC285_XL_WES,ERP116450,HROC285_XL_WES
ERR3654031,WXS,252,19093261824,PRJEB33640,SAMEA5820653,6891668557,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646047,SAMEA5820653,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:11:00Z,1,SAMEA5820653,HROC46_LMX_WES,ERP116450,HROC46_LMX_WES
ERR3654032,WXS,252,19619505612,PRJEB33640,SAMEA5820654,7015208871,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646048,SAMEA5820654,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:14:00Z,1,SAMEA5820654,HROC50_LMX_WES,ERP116450,HROC50_LMX_WES
ERR3654033,WXS,252,19293206688,PRJEB33640,SAMEA5820655,7077011961,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646049,SAMEA5820655,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:15:00Z,1,SAMEA5820655,HROC50_XL_WES,ERP116450,HROC50_XL_WES
ERR3654034,WXS,252,12396854484,PRJEB33640,SAMEA5820656,4941052560,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646050,SAMEA5820656,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:14:00Z,1,SAMEA5820656,HROC59_LMX_WES,ERP116450,HROC59_LMX_WES
ERR3654035,WXS,252,14854879872,PRJEB33640,SAMEA5820657,5799830826,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646051,SAMEA5820657,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:18:00Z,1,SAMEA5820657,HROC59_XL_WES,ERP116450,HROC59_XL_WES
ERR3654036,WXS,252,16327086048,PRJEB33640,SAMEA5820658,6268691134,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646052,SAMEA5820658,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:19:00Z,1,SAMEA5820658,HROC80_LMX_WES,ERP116450,HROC80_LMX_WES
ERR3654037,WXS,252,15299555040,PRJEB33640,SAMEA5820659,5868207265,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646053,SAMEA5820659,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:20:00Z,1,SAMEA5820659,HROC80_XL_WES,ERP116450,HROC80_XL_WES
ERR3654038,WXS,252,17505307512,PRJEB33640,SAMEA5820660,6838894790,CANDIOLO CANCER INSTITUTE,human,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646054,SAMEA5820660,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:22:00Z,1,SAMEA5820660,HROC87_LMX_WES,ERP116450,HROC87_LMX_WES
ERR3654039,WXS,252,17716623120,PRJEB33640,SAMEA5820661,6818463508,CANDIOLO CANCER INSTITUTE,human,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2019-11-11,2019-11-11,2019-11-12,2019-07-31,ERX3646055,SAMEA5820661,Candiolo Cancer Institute,Candiolo Cancer Institute,2019-11-11T17:05:08Z,2019-07-31T13:18:19Z,public,Illumina HiSeq 4000,unspecified,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2019-11-17T00:00:00Z,2019-11-17T13:23:00Z,1,SAMEA5820661,HROC87_XL_WES,ERP116450,HROC87_XL_WES
