Position	51484e4a-6754-4d25-934c-7643a178ed76.rna_seq.genomic.gdc_realn.bam
chr15:98963163-98963281	1
chr15:98960290-98960401	
chr15:98959804-98959918	
chr15:98959144-98959256	
chr15:98958650-98958760	1
chr15:98867104-98867234	0
chr15:98817254-98817391	0
chr15:98755668-98755803	0
chr15:97969806-97969922	0
chr15:96339807-96339918	
chr15:96339046-96339157	
chr15:96338630-96338740	0
chr15:96337937-96338047	0
chr15:96337771-96337886	0
chr15:93002163-93002273	0
chr15:92997035-92997145	0
chr15:92945646-92945758	
chr15:92618790-92618905	1
chr15:92618694-92618815	0
chr15:92618035-92618146	0
chr15:91001259-91001377	0
chr15:90501339-90501453	0
chr15:90501270-90501380	0
chr15:90476669-90476780	0
chr15:90222869-90222984	0
chr15:90051443-90051553	0
chr15:89900869-89900980	0
chr15:89874077-89874191	0
chr15:89200679-89200789	0
chr15:89196562-89196672	0
chr15:88631607-88631719	0
chr15:85746618-85746730	0
chr15:85647475-85647587	0
chr15:85092269-85092380	0
chr15:85083259-85083371	0
chr15:84805680-84805795	0
chr15:83004677-83004787	0
chr15:82841485-82841597	
chr15:82543411-82543534	
chr15:82485177-82485288	
chr15:82472538-82472652	
chr15:82147432-82147542	0
chr15:81003738-81003850	0
chr15:80137634-80137744	0
chr15:78897195-78897306	0
chr15:78536248-78536381	
chr15:78500488-78500607	1
chr15:78170310-78170423	1
chr15:78105111-78105221	0
chr15:78022499-78022609	0
chr15:77480669-77480785	0
chr15:76753762-76753874	
chr15:76471048-76471162	0
chr15:76416441-76416553	
chr15:76352230-76352340	
chr15:75916768-75916878	0
chr15:75648785-75648895	0
chr15:75468192-75468310	0
chr15:75371429-75371539	0
chr15:75371175-75371285	0
chr15:75370913-75371031	0
chr15:75369442-75369552	
chr15:75033544-75033655	0
chr15:75019067-75019184	0
chr15:74844153-74844263	0
chr15:74596745-74596855	0
chr15:74028392-74028508	0
chr15:72754045-72754159	0
chr15:72585476-72585588	1
chr15:71825424-71825538	
chr15:71780491-71780601	
chr15:71739798-71739916	
chr15:70097766-70097876	0
chr15:70048952-70049067	0
chr15:70048599-70048709	0
chr15:69456011-69456122	0
chr15:68779957-68780067	0
chr15:68779273-68779383	0
chr15:68779125-68779235	0
chr15:68294540-68294652	0
chr15:68292588-68292699	1
chr15:68207929-68208049	0
chr15:68190708-68190820	0
chr15:68190602-68190714	0
chr15:67711621-67711743	0
chr15:67193644-67193757	0
chr15:66702659-66702769	0
chr15:66493604-66493722	0
chr15:66492639-66492751	0
chr15:66491472-66491582	0
chr15:66348643-66348755	0
chr15:65446566-65446686	0
chr15:65446027-65446138	
chr15:65445654-65445765	0
chr15:65445499-65445610	0
chr15:65444831-65444961	0
chr15:65443443-65443555	0
chr15:65259417-65259531	0
chr15:65148683-65148794	
chr15:64954906-64955017	
chr15:64954668-64954779	
chr15:64953990-64954100	
chr15:64953649-64953759	
chr15:64953201-64953312	
chr15:64952824-64952934	
chr15:64952703-64952817	
chr15:64951889-64952003	
chr15:64647086-64647199	0
chr15:64607138-64607252	0
chr15:64557140-64557254	0
chr15:64547600-64547712	0
chr15:64442148-64442262	0
chr15:64169183-64169295	
chr15:64166032-64166145	
chr15:64142277-64142387	
chr15:64140983-64141101	
chr15:63936929-63937050	0
chr15:63693197-63693311	
chr15:63592709-63592822	
chr15:63507837-63507947	0
chr15:63266957-63267069	0
chr15:63071152-63071272	0
chr15:62829123-62829235	0
chr15:61865752-61865863	0
chr15:61856481-61856591	0
chr15:61853991-61854105	0
chr15:61853828-61853942	
chr15:60432024-60432135	0
chr15:59668722-59668835	0
chr15:59622262-59622377	0
chr15:59406835-59406953	0
chr15:59340328-59340439	0
chr15:59338110-59338221	0
chr15:58933672-58933783	0
chr15:58894011-58894126	0
chr15:58596049-58596160	0
chr15:57715534-57715644	0
chr15:57715270-57715383	0
chr15:57548097-57548208	
chr15:57547953-57548068	
chr15:57122048-57122164	0
chr15:56240056-56240169	
chr15:55319962-55320072	0
chr15:52593093-52593205	0
chr15:52550566-52550676	0
chr15:52549308-52549418	0
chr15:52548447-52548563	0
chr15:52547297-52547417	0
chr15:52547047-52547163	
chr15:52224234-52224354	0
chr15:52193264-52193385	0
chr15:52121560-52121675	
chr15:51914686-51914798	0
chr15:51913964-51914083	1
chr15:51912390-51912503	0
chr15:51910728-51910848	0
chr15:51908883-51908993	0
chr15:50706756-50706866	0
chr15:50705332-50705442	0
chr15:50704480-50704592	
chr15:50560985-50561096	0
chr15:50499645-50499756	0
chr15:50499338-50499448	0
chr15:50489730-50489845	0
chr15:50424944-50425056	0
chr15:50424776-50424889	0
chr15:50341483-50341594	0
chr15:50277384-50277496	1
chr15:48342344-48342454	0
chr15:48342072-48342187	0
chr15:47772817-47772936	0
chr15:47772752-47772862	0
chr15:47741663-47741774	0
chr15:45518161-45518271	0
chr15:45486989-45487106	
chr15:45479790-45479911	
chr15:45420644-45420754	
chr15:45276495-45276610	1
chr15:44732808-44732933	0
chr15:44593879-44593991	0
chr15:44560185-44560295	0
chr15:44550840-44550951	0
chr15:44535178-44535288	
chr15:44535037-44535152	
chr15:44528458-44528571	
chr15:44413760-44413877	0
chr15:43533647-43533763	
chr15:42567965-42568081	1
chr15:42532044-42532158	0
chr15:42415689-42415806	0
chr15:42211088-42211201	0
chr15:41899456-41899568	0
chr15:41827104-41827214	
chr15:41482767-41482877	0
chr15:41481231-41481344	0
chr15:41481001-41481111	0
chr15:41470192-41470304	0
chr15:41380193-41380305	1
chr15:41300464-41300580	0
chr15:41299066-41299189	0
chr15:41008174-41008304	0
chr15:40903630-40903749	0
chr15:40858126-40858241	
chr15:40744880-40744995	0
chr15:40420056-40420167	0
chr15:40325943-40326054	
chr15:40325465-40325576	
chr15:40035429-40035539	1
chr15:39597230-39597351	0
chr15:38488343-38488457	
chr15:38484555-38484684	
chr15:38352191-38352309	0
chr15:37099501-37099613	
chr15:36935136-36935253	0
chr15:36891023-36891134	
chr15:34980807-34980923	0
chr15:34231542-34231657	0
chr15:34231314-34231428	
chr15:34230921-34231031	0
chr15:34145897-34146016	0
chr15:34142216-34142327	0
chr15:34141854-34141966	0
chr15:31229252-31229362	
chr15:30951463-30951573	0
chr15:30928456-30928590	
chr15:25115539-25115652	
chr15:22587762-22587892	
chr15:22548761-22548872	
chr14:105494823-105494938	0
chr14:104896266-104896377	0
chr14:104804098-104804224	0
chr14:104795581-104795692	0
chr14:103794278-103794393	0
chr14:103733949-103734059	0
chr14:103558950-103559063	0
chr14:103471740-103471850	0
chr14:103415100-103415225	0
chr14:103342091-103342201	1
chr14:103339595-103339705	0
chr14:103136470-103136588	0
chr14:102881345-102881460	0
chr14:102727883-102728003	0
chr14:102696825-102696936	0
chr14:102347527-102347643	
chr14:102345449-102345562	0
chr14:102178341-102178457	0
chr14:100414263-100414382	0
chr14:100302725-100302839	0
chr14:100282247-100282359	1
chr14:100280556-100280666	0
chr14:100278083-100278195	0
chr14:100239419-100239535	0
chr14:100140769-100140879	0
chr14:99882599-99882725	
chr14:99747137-99747256	
chr14:99512425-99512535	0
chr14:99511273-99511384	0
chr14:99502019-99502132	0
chr14:96565774-96565889	0
chr14:96287962-96288074	
chr14:96243793-96243906	0
chr14:96093040-96093151	
chr14:95534205-95534319	
chr14:95407726-95407850	
chr14:95089150-95089263	
chr14:95087872-95087982	0
chr14:93332888-93333005	0
chr14:93242036-93242148	
chr14:93239400-93239513	1
chr14:92688142-92688259	0
chr14:92654272-92654391	0
chr14:92061197-92061308	
chr14:92058895-92059008	
chr14:91968283-91968393	
chr14:91781500-91781610	0
chr14:91475515-91475634	0
chr14:91468686-91468797	0
chr14:91458134-91458245	1
chr14:91384223-91384339	0
chr14:91271431-91271543	0
chr14:90795178-90795288	
chr14:90406095-90406208	0
chr14:90405840-90405951	0
chr14:90405520-90405635	0
chr14:89607767-89607879	0
chr14:89584657-89584773	0
chr14:89549223-89549340	0
chr14:89537236-89537348	0
chr14:89529649-89529760	0
chr14:89161544-89161656	0
chr14:89161334-89161449	0
chr14:89161255-89161366	0
chr14:89156602-89156717	0
chr14:88612929-88613044	0
chr14:81476671-81476781	0
chr14:81476435-81476548	0
chr14:81474599-81474709	0
chr14:81474194-81474309	0
chr14:81220687-81220802	0
chr14:81220633-81220746	0
chr14:81220528-81220641	0
chr14:81178543-81178653	0
chr14:77509252-77509363	0
chr14:77507740-77507850	0
chr14:77507282-77507398	0
chr14:77115639-77115753	0
chr14:77115191-77115305	
chr14:77027437-77027554	0
chr14:77027254-77027383	0
chr14:77024922-77025046	0
chr14:77024782-77024899	
chr14:76773585-76773699	0
chr14:76212351-76212462	
chr14:76196387-76196507	
chr14:76173787-76173899	
chr14:75970512-75970658	
chr14:75958654-75958770	
chr14:75470175-75470285	0
chr14:75470122-75470239	0
chr14:75132346-75132458	0
chr14:75126741-75126852	0
chr14:75124725-75124844	0
chr14:75108511-75108622	0
chr14:75009251-75009361	0
chr14:74735520-74735634	0
chr14:74661555-74661667	0
chr14:74513753-74513878	0
chr14:74170818-74170931	0
chr14:74112243-74112357	0
chr14:74097375-74097493	
chr14:74059034-74059156	
chr14:74058398-74058514	0
chr14:74028898-74029018	
chr14:73966418-73966529	0
chr14:73760123-73760235	0
chr14:73716632-73716759	
chr14:73716462-73716573	
chr14:73568515-73568626	0
chr14:73568302-73568413	0
chr14:73221540-73221653	0
chr14:73121146-73121260	0
chr14:73119855-73119967	0
chr14:73105848-73105965	0
chr14:71574656-71574769	0
chr14:71438090-71438219	0
chr14:71367859-71367978	0
chr14:70371221-70371331	0
chr14:70369059-70369174	0
chr14:70368641-70368767	0
chr14:70326248-70326362	0
chr14:69713786-69713905	0
chr14:69461589-69461699	0
chr14:69459506-69459620	0
chr14:69445002-69445112	0
chr14:69380278-69380391	1
chr14:69197371-69197481	
chr14:69053751-69053864	0
chr14:68788567-68788677	0
chr14:68787880-68787993	0
chr14:67677313-67677442	0
chr14:67385608-67385727	0
chr14:67385389-67385506	0
chr14:67384317-67384430	0
chr14:67330104-67330221	0
chr14:66713706-66713825	0
chr14:66703941-66704051	0
chr14:66594255-66594365	0
chr14:65742905-65743018	0
chr14:65075911-65076023	0
chr14:65002559-65002673	0
chr14:64932591-64932703	0
chr14:64733088-64733212	0
chr14:64523932-64524045	0
chr14:64439889-64440001	0
chr14:64437099-64437214	0
chr14:63685662-63685772	
chr14:63375699-63375810	0
chr14:63374584-63374719	
chr14:63374034-63374144	0
chr14:63373954-63374073	0
chr14:63372037-63372147	0
chr14:63292897-63293013	
chr14:61747918-61748028	0
chr14:61394216-61394327	0
chr14:61362290-61362409	0
chr14:61278925-61279063	0
chr14:60979639-60979749	0
chr14:60762655-60762775	0
chr14:60292599-60292716	0
chr14:60150146-60150261	0
chr14:59371059-59371169	
chr14:59360824-59360935	0
chr14:58293697-58293815	0
chr14:58293115-58293225	0
chr14:57411010-57411125	
chr14:57277084-57277198	0
chr14:55684212-55684322	1
chr14:55580203-55580330	0
chr14:55366991-55367102	0
chr14:55353226-55353338	0
chr14:55068960-55069073	0
chr14:55067366-55067476	
chr14:55067155-55067272	
chr14:55066850-55066965	
chr14:55065930-55066041	0
chr14:54792655-54792769	
chr14:54791608-54791718	
chr14:54790705-54790815	
chr14:54790622-54790758	
chr14:54425334-54425445	0
chr14:53949833-53949951	0
chr14:52999749-52999862	0
chr14:52880953-52881063	0
chr14:52776198-52776309	1
chr14:52775260-52775370	0
chr14:52774541-52774658	
chr14:52774349-52774462	
chr14:52774285-52774399	
chr14:52773291-52773406	
chr14:52641257-52641367	0
chr14:52640941-52641051	0
chr14:51968307-51968417	
chr14:51255343-51255458	0
chr14:50668257-50668371	
chr14:50634780-50634892	0
chr14:50634329-50634442	0
chr14:50479136-50479247	0
chr14:50323039-50323153	0
chr14:50225902-50226021	0
chr14:50204854-50204965	0
chr14:50141960-50142075	
chr14:50118238-50118348	
chr14:49894403-49894525	0
chr14:49783319-49783430	0
chr14:49783247-49783360	
chr14:49632397-49632512	0
chr14:49625309-49625422	0
chr14:49623220-49623331	0
chr14:49591237-49591370	
chr14:49576073-49576187	
chr14:45209284-45209394	0
chr14:39428466-39428578	0
chr14:35657142-35657254	
chr14:35138747-35138859	0
chr14:35082498-35082615	0
chr14:35081211-35081323	0
chr14:34790118-34790232	0
chr14:34713150-34713261	0
chr14:34516079-34516189	0
chr14:34433912-34434025	
chr14:33924487-33924602	
chr14:32269019-32269130	
chr14:32157778-32157889	1
chr14:31325434-31325576	0
chr14:31293244-31293354	0
chr14:31293083-31293193	
chr14:31161820-31161931	0
chr14:31062919-31063033	0
chr14:30895044-30895155	
chr14:30894843-30894958	0
chr14:24812036-24812151	
chr14:24439135-24439246	0
chr14:24286189-24286300	0
chr14:24176020-24176132	0
chr14:24166330-24166442	0
chr14:24125001-24125111	0
chr14:23940672-23940794	0
chr14:23325945-23326059	0
chr14:23325584-23325695	0
chr14:23325299-23325413	0
chr14:23275612-23275723	
chr14:23275567-23275687	
chr14:23127034-23127144	0
chr14:23080619-23080739	0
chr14:22902006-22902125	0
chr14:22834797-22834912	0
chr14:22771454-22771567	0
chr14:22551985-22552095	0
chr14:21415771-21415885	
chr14:21385420-21385535	0
chr14:21086857-21086972	0
chr13:114291669-114291779	0
chr13:114013928-114014038	0
chr13:113549782-113549892	0
chr13:113423206-113423316	0
chr13:113264897-113265007	0
chr13:113019385-113019499	0
chr13:112886486-112886598	0
chr13:112885028-112885140	0
chr13:112800166-112800277	0
chr13:110899778-110899890	0
chr13:110512265-110512376	0
chr13:109755164-109755276	0
chr13:106558071-106558181	0
chr13:106543775-106543892	0
chr13:106492218-106492328	0
chr13:102802580-102802690	0
chr13:102678743-102678867	
chr13:99891501-99891614	0
chr13:99864891-99865006	0
chr13:98812122-98812232	0
chr13:98448754-98448864	
chr13:98448687-98448805	
chr13:98407294-98407407	0
chr13:98301915-98302025	0
chr13:97467627-97467738	0
chr13:97466159-97466273	1
chr13:97297858-97297970	0
chr13:95689923-95690033	0
chr13:95021187-95021298	
chr13:95020946-95021057	1
chr13:94574824-94574936	0
chr13:77111533-77111647	0
chr13:77044851-77044965	0
chr13:76886208-76886328	0
chr13:76881786-76881902	0
chr13:75449511-75449621	
chr13:73687516-73687627	
chr13:72708777-72708890	
chr13:52414135-52414249	0
chr13:51967184-51967294	0
chr13:51708531-51708642	
chr13:51365341-51365451	
chr13:50087247-50087369	0
chr13:49768517-49768646	0
chr13:49701148-49701263	0
chr13:49551849-49551967	0
chr13:49526118-49526240	0
chr13:49524240-49524351	0
chr13:49518274-49518391	0
chr13:49258383-49258493	0
chr13:48404392-48404502	0
chr13:48053761-48053873	0
chr13:47946530-47946643	0
chr13:46771284-46771398	0
chr13:46159642-46159752	0
chr13:45513165-45513277	0
chr13:45390021-45390134	0
chr13:45389230-45389344	0
chr13:45331891-45332001	0
chr13:44403989-44404100	0
chr13:43107474-43107606	0
chr13:43107241-43107353	1
chr13:42988800-42988927	0
chr13:42963188-42963301	0
chr13:42894625-42894743	0
chr13:42322711-42322825	0
chr13:42320219-42320342	0
chr13:42319856-42320000	
chr13:42310806-42310922	0
chr13:41879332-41879466	0
chr13:41261284-41261398	0
chr13:41191587-41191697	
chr13:41191340-41191457	
chr13:41061049-41061159	0
chr13:41060894-41061005	0
chr13:40558877-40558988	
chr13:39751177-39751290	
chr13:39343553-39343700	0
chr13:39048997-39049112	
chr13:39041149-39041259	0
chr13:38362418-38362531	0
chr13:38361027-38361138	0
chr13:36845579-36845689	
chr13:36845267-36845388	
chr13:36845064-36845184	
chr13:36844900-36845011	
chr13:35671339-35671454	
chr13:33833319-33833429	0
chr13:33823875-33823985	0
chr13:33127834-33127952	
chr13:32697999-32698111	0
chr13:32664814-32664924	0
chr13:32529623-32529738	0
chr13:32411274-32411393	0
chr13:31317927-31318037	
chr13:30621222-30621334	
chr13:30481212-30481322	
chr13:30461322-30461433	0
chr13:30460903-30461018	0
chr13:29842084-29842208	0
chr13:29511919-29512029	0
chr13:28389096-28389209	
chr13:28301122-28301236	
chr13:28206688-28206800	0
chr13:28138669-28138780	0
chr13:27925406-27925516	0
chr13:27273640-27273770	
chr13:27256483-27256594	0
chr13:26376179-26376289	0
chr13:24304409-24304520	1
chr13:21563763-21563877	0
chr13:21177290-21177403	0
chr13:21148439-21148549	0
chr13:20974373-20974486	0
chr13:20973953-20974064	0
chr13:20973464-20973585	0
chr13:20789717-20789832	
chr13:20592378-20592490	
chr13:20575015-20575126	
chr13:19853566-19853678	0
chr13:19702998-19703111	0
chr13:19702080-19702192	0
chr13:19673048-19673160	
chr13:19672448-19672567	0
chr13:19661677-19661787	0
chr12:133099883-133099995	0
chr12:132848057-132848167	0
chr12:132771797-132771913	0
chr12:132770182-132770300	0
chr12:132722204-132722317	0
chr12:132584769-132584902	0
chr12:132583561-132583675	0
chr12:130960628-130960738	
chr12:130877000-130877114	0
chr12:128793735-128793845	
chr12:125030912-125031029	0
chr12:125029529-125029643	0
chr12:125026268-125026381	1
chr12:124993785-124993914	0
chr12:124402503-124402614	0
chr12:124340104-124340215	0
chr12:123661590-123661702	0
chr12:123597797-123597913	0
chr12:123584514-123584641	0
chr12:123511502-123511612	
chr12:123415879-123415990	0
chr12:123408516-123408636	0
chr12:123312661-123312774	0
chr12:123291869-123291979	
chr12:123290692-123290804	
chr12:123257476-123257586	0
chr12:123157333-123157444	
chr12:123142832-123142946	
chr12:123029823-123029935	
chr12:123018243-123018362	
chr12:122981722-122981832	0
chr12:122769464-122769576	0
chr12:122769269-122769381	0
chr12:122769196-122769308	0
chr12:122420295-122420408	0
chr12:122288403-122288514	0
chr12:122277302-122277415	0
chr12:122232011-122232122	0
chr12:122146571-122146690	1
chr12:122144836-122144947	0
chr12:122060911-122061022	0
chr12:121831846-121831956	0
chr12:121831401-121831511	0
chr12:121778400-121778521	0
chr12:121331788-121331905	0
chr12:121323282-121323392	0
chr12:121296630-121296749	0
chr12:121240474-121240587	0
chr12:121238512-121238623	0
chr12:120984293-120984411	0
chr12:120764268-120764381	0
chr12:120763823-120763934	0
chr12:120723453-120723563	0
chr12:120700398-120700509	0
chr12:120697257-120697376	0
chr12:120577134-120577245	1
chr12:120461849-120461961	0
chr12:120460948-120461063	0
chr12:119989457-119989568	0
chr12:119989269-119989379	
chr12:119194655-119194779	
chr12:118417627-118417742	
chr12:118415876-118415992	0
chr12:118238129-118238241	0
chr12:118231352-118231462	0
chr12:118149869-118149980	0
chr12:118068472-118068598	0
chr12:118064387-118064501	0
chr12:118055861-118055974	0
chr12:118033497-118033614	0
chr12:118032813-118032923	0
chr12:117145408-117145518	
chr12:117145044-117145155	0
chr12:116148559-116148681	0
chr12:114684021-114684145	0
chr12:114683740-114683853	1
chr12:113944846-113944960	0
chr12:113927091-113927205	0
chr12:113389649-113389759	0
chr12:113180900-113181015	0
chr12:112972829-112972963	0
chr12:112506896-112507043	0
chr12:112506386-112506498	0
chr12:112506127-112506237	0
chr12:112027258-112027376	
chr12:111877812-111877923	0
chr12:111842200-111842311	1
chr12:111663406-111663524	0
chr12:111642275-111642387	0
chr12:111452379-111452500	0
chr12:111449881-111449995	0
chr12:110582884-110583004	0
chr12:110534347-110534465	0
chr12:110534073-110534187	0
chr12:110167797-110167914	
chr12:110041870-110041981	
chr12:110025778-110025888	0
chr12:109931650-109931760	0
chr12:109851800-109851914	0
chr12:109535763-109535873	0
chr12:109266855-109266972	
chr12:109112638-109112759	
chr12:109110784-109110900	0
chr12:108646991-108647101	0
chr12:108645180-108645299	0
chr12:108590646-108590757	0
chr12:108533338-108533454	0
chr12:108288728-108288841	0
chr12:107749346-107749464	0
chr12:106972810-106972929	0
chr12:106348559-106348670	
chr12:106347843-106347960	
chr12:106247687-106247797	0
chr12:106238612-106238726	0
chr12:106238546-106238656	0
chr12:106237942-106238063	0
chr12:105234792-105234907	0
chr12:105209916-105210028	0
chr12:104907156-104907272	0
chr12:104804296-104804416	
chr12:104804092-104804219	
chr12:104761414-104761551	0
chr12:104457107-104457219	0
chr12:104319030-104319141	0
chr12:103983186-103983296	0
chr12:103949298-103949412	
chr12:103947924-103948038	
chr12:103947359-103947471	1
chr12:103776624-103776738	
chr12:102399057-102399196	0
chr12:102398749-102398859	0
chr12:102397160-102397271	
chr12:102396738-102396851	0
chr12:101830663-101830787	
chr12:101770146-101770257	0
chr12:101754689-101754803	0
chr12:101746694-101746805	0
chr12:98733086-98733196	0
chr12:98624901-98625011	
chr12:98622024-98622141	
chr12:98604446-98604560	
chr12:98549458-98549569	0
chr12:98546282-98546394	0
chr12:96391246-96391357	0
chr12:96262766-96262880	0
chr12:95328668-95328779	
chr12:95080417-95080528	
chr12:94568208-94568326	
chr12:94305780-94305894	0
chr12:93850548-93850658	0
chr12:93401872-93401990	0
chr12:93400570-93400683	0
chr12:92774001-92774117	0
chr12:92143880-92143994	0
chr12:89621752-89621864	0
chr12:89590774-89590886	0
chr12:89590366-89590479	0
chr12:88198152-88198265	
chr12:88187117-88187232	
chr12:83134240-83134352	
chr12:83022059-83022176	
chr12:82763141-82763251	
chr12:79789728-79789845	0
chr12:79775867-79775980	0
chr12:79775691-79775803	
chr12:79774584-79774697	0
chr12:79590146-79590265	0
chr12:79589425-79589536	1
chr12:79449873-79450008	
chr12:76844995-76845106	
chr12:76353251-76353367	1
chr12:76047377-76047493	
chr12:76047321-76047438	0
chr12:76046438-76046549	
chr12:76031107-76031224	0
chr12:76027927-76028039	0
chr12:75499648-75499761	0
chr12:75499596-75499706	0
chr12:75481307-75481426	0
chr12:74541079-74541195	0
chr12:74540023-74540135	1
chr12:71788948-71789060	
chr12:71788248-71788358	
chr12:71787320-71787430	0
chr12:71615196-71615306	
chr12:71611054-71611169	0
chr12:71129369-71129481	0
chr12:69566566-69566677	0
chr12:69353447-69353558	0
chr12:69272819-69272947	
chr12:69265977-69266092	0
chr12:69250540-69250657	0
chr12:68855693-68855806	0
chr12:68852506-68852619	
chr12:68843648-68843766	0
chr12:68843043-68843156	0
chr12:68841157-68841268	0
chr12:68840456-68840583	0
chr12:68840056-68840167	0
chr12:68765678-68765798	
chr12:68765206-68765318	
chr12:67661746-67661856	0
chr12:67661047-67661159	0
chr12:67660311-67660422	1
chr12:66202779-66202890	
chr12:66137348-66137464	0
chr12:65463781-65463892	
chr12:65050765-65050878	
chr12:64759250-64759368	0
chr12:64444940-64445052	0
chr12:62559724-62559837	
chr12:62468105-62468217	
chr12:57747697-57747810	0
chr12:57602905-57603018	0
chr12:57489200-57489310	0
chr12:57253775-57253887	0
chr12:57213315-57213429	0
chr12:57111239-57111369	0
chr12:56597587-56597724	0
chr12:56595518-56595630	0
chr12:56342538-56342651	0
chr12:56342383-56342495	1
chr12:56272427-56272537	0
chr12:56250684-56250799	0
chr12:56229691-56229822	0
chr12:56205519-56205629	0
chr12:56163277-56163394	0
chr12:56162344-56162459	0
chr12:56123373-56123490	
chr12:55901402-55901518	0
chr12:55841460-55841607	0
chr12:55821009-55821119	0
chr12:55755741-55755854	0
chr12:54456068-54456179	
chr12:54370087-54370197	0
chr12:54287006-54287117	0
chr12:54236185-54236295	0
chr12:54231075-54231185	0
chr12:54132716-54132828	
chr12:54129965-54130080	
chr12:53416299-53416417	0
chr12:53415589-53415706	0
chr12:53412880-53413017	0
chr12:53190629-53190743	
chr12:53041450-53041561	0
chr12:53040738-53040850	0
chr12:52897173-52897284	0
chr12:52011555-52011668	0
chr12:51951663-51951785	0
chr12:51921688-51921799	0
chr12:51362803-51362916	0
chr12:51353863-51353974	0
chr12:51353314-51353433	0
chr12:51243524-51243641	0
chr12:51093936-51094061	0
chr12:51093783-51093910	
chr12:51081784-51081901	0
chr12:51078347-51078458	0
chr12:50980519-50980629	0
chr12:50931040-50931158	0
chr12:50930224-50930340	0
chr12:50681378-50681495	
chr12:50454325-50454435	0
chr12:50405401-50405511	0
chr12:50166273-50166393	0
chr12:50165391-50165504	0
chr12:50129768-50129880	
chr12:50110754-50110867	0
chr12:49639634-49639744	0
chr12:49527220-49527330	0
chr12:49516669-49516788	0
chr12:49426155-49426267	0
chr12:49380664-49380778	0
chr12:49019795-49019910	0
chr12:49019365-49019475	0
chr12:48938618-48938729	0
chr12:48936984-48937094	0
chr12:48696371-48696485	0
chr12:48688760-48688870	1
chr12:48661145-48661255	0
chr12:48659572-48659684	0
chr12:48147878-48147988	0
chr12:48044344-48044455	
chr12:48044307-48044425	
chr12:48044077-48044188	0
chr12:47968700-47968813	0
chr12:47849810-47849920	0
chr12:47843446-47843561	0
chr12:47842573-47842693	0
chr12:47782773-47782885	0
chr12:46360891-46361010	0
chr12:46359039-46359155	0
chr12:46187732-46187850	0
chr12:46183108-46183218	0
chr12:45920557-45920670	0
chr12:45905233-45905345	0
chr12:45876519-45876632	0
chr12:43883711-43883822	0
chr12:42441476-42441591	0
chr12:42313825-42313935	0
chr12:42313159-42313274	0
chr12:41572323-41572438	
chr12:40358968-40359084	
chr12:39351739-39351856	0
chr12:39293683-39293798	
chr12:38652547-38652664	
chr12:32791062-32791173	0
chr12:32645243-32645355	
chr12:32644838-32644952	
chr12:32633610-32633728	0
chr12:31614867-31614981	
chr12:31562876-31562991	0
chr12:31282624-31282735	0
chr12:31282153-31282265	0
chr12:30954012-30954123	
chr12:30713271-30713382	
chr12:29340739-29340850	0
chr12:29340602-29340714	
chr12:29209642-29209769	0
chr12:27801153-27801266	
chr12:27800658-27800771	0
chr12:27800301-27800423	
chr12:27793497-27793611	0
chr12:27755109-27755227	0
chr12:27695070-27695184	0
chr12:26973125-26973239	0
chr12:26972370-26972483	
chr12:26965611-26965722	
chr12:26925660-26925772	0
chr12:26405115-26405230	0
chr12:26370625-26370743	0
chr12:26233428-26233543	0
chr12:26231957-26232067	
chr12:25208479-25208589	1
chr12:25208117-25208229	0
chr12:25207465-25207576	0
chr12:25206061-25206171	1
chr12:22681580-22681693	0
chr12:22662006-22662117	0
chr12:22459307-22459419	0
chr12:21799222-21799332	
chr12:21469636-21469746	0
chr12:21469324-21469437	0
chr12:20682928-20683043	
chr12:19518388-19518498	
chr12:19376098-19376212	0
chr12:19303765-19303886	0
chr12:19251689-19251813	0
chr12:14614508-14614619	0
chr12:14567570-14567692	0
chr12:13211442-13211552	0
chr12:12917199-12917314	1
chr12:12914564-12914681	0
chr12:12912695-12912808	0
chr12:12789954-12790070	
chr12:12643610-12643742	0
chr12:12487311-12487422	0
chr12:12476699-12476809	0
chr12:12329836-12329948	0
chr12:12111467-12111577	0
chr12:11895239-11895349	0
chr12:11892453-11892567	0
chr12:11891409-11891520	0
chr12:10624215-10624325	0
chr12:10120707-10120822	0
chr12:10120544-10120658	0
chr12:9695824-9695944	
chr12:8946307-8946418	0
chr12:8777565-8777678	
chr12:8741873-8741983	
chr12:8047911-8048033	0
chr12:7928781-7928891	0
chr12:7919376-7919489	
chr12:7211297-7211407	0
chr12:7097233-7097349	0
chr12:7094509-7094620	0
chr12:7080430-7080541	0
chr12:6908773-6908886	
chr12:6731737-6731848	0
chr12:6730654-6730765	0
chr12:6667853-6667997	0
chr12:6666763-6666876	0
chr12:6666584-6666700	
chr12:6619339-6619451	0
chr12:6619306-6619426	1
chr12:6602383-6602494	0
chr12:6578474-6578587	0
chr12:6570107-6570220	0
chr12:6531461-6531573	0
chr12:4304950-4305061	0
chr12:4301894-4302006	0
chr12:4301634-4301749	0
chr12:4301422-4301538	0
chr12:4301317-4301428	0
chr12:4300304-4300414	0
chr12:3077337-3077457	0
chr12:2903512-2903626	0
chr12:1953107-1953236	0
chr12:1743260-1743379	0
chr12:1703669-1703796	0
chr12:1698156-1698289	0
chr12:1647022-1647132	0
chr12:1594173-1594287	0
chr12:1594106-1594233	0
chr12:909358-909470	1
chr12:861080-861190	0
chr12:493542-493658	0
chr12:284588-284699	0
